# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
15.575,6.9,5.9,6.3,11.0
15.600,6.9,5.9,6.3,11.0
15.625,6.9,5.9,6.3,11.0
15.650,6.9,5.9,6.3,11.0
15.675,6.8,5.8,6.3,11.0
15.700,6.8,5.8,6.3,11.0
15.725,6.8,5.8,6.3,11.0
15.750,6.9,6.0,6.2,11.0
15.775,6.9,6.0,6.2,11.0
15.800,6.9,6.0,6.2,11.0
15.825,6.9,6.0,6.2,11.0
15.850,6.9,6.4,6.2,11.2
15.875,6.9,6.4,6.2,11.2
15.900,6.9,6.4,6.2,11.2
15.925,6.9,6.4,6.2,11.2
15.950,6.9,6.5,6.2,11.3
15.975,6.9,6.5,6.2,11.3
16.000,6.9,6.5,6.2,11.3
16.025,6.9,6.5,6.2,11.3
16.050,6.8,6.6,6.2,11.3
16.075,6.8,6.6,6.2,11.3
16.100,6.8,6.6,6.2,11.3
16.125,6.8,6.6,6.2,11.3
16.150,6.8,6.4,6.1,11.2
16.175,6.8,6.4,6.1,11.2
16.200,6.8,6.4,6.1,11.2
16.225,6.8,6.4,6.1,11.2
16.250,6.8,6.0,6.1,11.0
16.275,6.8,6.0,6.1,11.0
16.300,6.8,6.0,6.1,11.0
16.325,6.8,6.0,6.1,11.0
16.350,6.8,5.9,6.1,10.9
16.375,6.8,5.9,6.1,10.9
16.400,6.8,5.9,6.1,10.9
16.425,6.8,5.9,6.1,10.9
16.450,6.8,5.9,6.1,10.9
16.475,6.8,5.9,6.1,10.9
16.500,6.8,6.2,6.2,11.1
16.525,6.8,6.2,6.2,11.1
16.550,6.8,6.2,6.2,11.1
16.575,6.8,6.2,6.2,11.1
16.600,6.9,6.4,6.2,11.2
16.625,6.9,6.4,6.2,11.2
16.650,6.9,6.4,6.2,11.2
16.675,6.9,6.4,6.2,11.2
16.700,6.9,6.5,6.1,11.3
